trip_id,timestamp,pickup_district,driver_id,driver_status,trip_duration_mins,fare_amount_euros
TRIP_10962,2026-05-29 15:36:25.301943,Prenzlauer Berg,DRV_115,En Route,0,0.0
TRIP_11327,2026-05-29 15:36:25.301943,Friedrichshain-Kreuzberg,DRV_140,Passengers_Onboard,23,32.15
TRIP_12814,2026-05-29 15:38:25.301943,Friedrichshain-Kreuzberg,DRV_145,Passengers_Onboard,12,19.01
TRIP_12576,2026-05-29 15:40:25.301943,Mitte,DRV_108,Passengers_Onboard,10,16.6
TRIP_13299,2026-05-29 15:43:25.301943,Mitte,DRV_106,Passengers_Onboard,25,31.94
TRIP_14716,2026-05-29 15:51:25.301943,Mitte,DRV_124,En Route,0,0.0
TRIP_14148,2026-05-29 16:07:25.301943,Friedrichshain-Kreuzberg,DRV_139,Idle,0,0.0
TRIP_11174,2026-05-29 16:22:25.301943,Mitte,DRV_113,Idle,0,0.0
TRIP_11846,2026-05-29 16:27:25.301943,Friedrichshain-Kreuzberg,DRV_129,En Route,0,0.0
TRIP_11380,2026-05-29 16:44:25.301943,Mitte,DRV_144,Passengers_Onboard,19,23.01
TRIP_12418,2026-05-29 16:56:25.301943,Mitte,DRV_128,Idle,0,0.0
TRIP_13825,2026-05-29 17:04:25.301943,Mitte,DRV_103,Passengers_Onboard,3,10.11
TRIP_12424,2026-05-29 17:12:25.301943,Friedrichshain-Kreuzberg,DRV_118,Passengers_Onboard,16,17.45
TRIP_11288,2026-05-29 17:24:25.301943,Prenzlauer Berg,DRV_133,Passengers_Onboard,21,30.99
TRIP_12673,2026-05-29 17:32:25.301943,Mitte,DRV_112,Idle,0,0.0
TRIP_11503,2026-05-29 17:33:25.301943,Prenzlauer Berg,DRV_115,Passengers_Onboard,12,15.63
TRIP_14556,2026-05-29 17:45:25.301943,Mitte,DRV_123,Idle,0,0.0
TRIP_14083,2026-05-29 17:48:25.301943,Mitte,DRV_148,Passengers_Onboard,16,25.6
TRIP_12010,2026-05-29 17:52:25.301943,Mitte,DRV_112,Passengers_Onboard,18,22.27
TRIP_12929,2026-05-29 17:52:25.301943,Mitte,DRV_141,Idle,0,0.0
TRIP_13066,2026-05-29 17:55:25.301943,Mitte,DRV_108,Passengers_Onboard,11,16.18
TRIP_11837,2026-05-29 18:00:25.301943,Mitte,DRV_115,Passengers_Onboard,19,26.83
TRIP_14033,2026-05-29 18:02:25.301943,Prenzlauer Berg,DRV_147,Passengers_Onboard,18,27.39
TRIP_14814,2026-05-29 18:06:25.301943,Prenzlauer Berg,DRV_130,Idle,0,0.0
TRIP_10096,2026-05-29 18:08:25.301943,Mitte,DRV_131,En Route,0,0.0
TRIP_13601,2026-05-29 18:08:25.301943,Mitte,DRV_113,Passengers_Onboard,14,19.63
TRIP_13727,2026-05-29 18:09:25.301943,Mitte,DRV_130,Passengers_Onboard,20,29.32
TRIP_13269,2026-05-29 18:10:25.301943,Mitte,DRV_100,En Route,0,0.0
TRIP_14749,2026-05-29 18:34:25.301943,Friedrichshain-Kreuzberg,DRV_116,En Route,0,0.0
TRIP_10044,2026-05-29 18:36:25.301943,Prenzlauer Berg,DRV_112,Passengers_Onboard,14,21.06
TRIP_10467,2026-05-29 18:37:25.301943,Friedrichshain-Kreuzberg,DRV_131,Passengers_Onboard,11,16.65
TRIP_14223,2026-05-29 18:40:25.301943,Mitte,DRV_131,Idle,0,0.0
TRIP_10301,2026-05-29 18:44:25.301943,Prenzlauer Berg,DRV_103,En Route,0,0.0
TRIP_10291,2026-05-29 18:49:25.301943,Mitte,DRV_139,Passengers_Onboard,10,15.68
TRIP_13738,2026-05-29 18:51:25.301943,Prenzlauer Berg,DRV_138,Passengers_Onboard,14,22.23
TRIP_10176,2026-05-29 18:53:25.301943,Mitte,DRV_105,Passengers_Onboard,16,22.55
TRIP_12453,2026-05-29 18:54:25.301943,Mitte,DRV_135,Passengers_Onboard,20,27.06
TRIP_13037,2026-05-29 18:54:25.301943,Mitte,DRV_101,Idle,0,0.0
TRIP_12384,2026-05-29 19:00:25.301943,Mitte,DRV_102,Passengers_Onboard,15,18.43
TRIP_13971,2026-05-29 19:13:25.301943,Mitte,DRV_142,Passengers_Onboard,16,21.9
TRIP_14900,2026-05-29 19:21:25.301943,Mitte,DRV_108,Idle,0,0.0
TRIP_14980,2026-05-29 19:21:25.301943,Mitte,DRV_123,Idle,0,0.0
TRIP_11352,2026-05-29 19:22:25.301943,Mitte,DRV_104,Passengers_Onboard,18,25.5
TRIP_13053,2026-05-29 19:23:25.301943,Mitte,DRV_145,Passengers_Onboard,14,17.64
TRIP_13916,2026-05-29 19:45:25.301943,Friedrichshain-Kreuzberg,DRV_122,Passengers_Onboard,14,20.8
TRIP_11990,2026-05-29 19:58:25.301943,Mitte,DRV_130,En Route,0,0.0
TRIP_14691,2026-05-29 20:03:25.301943,Mitte,DRV_116,Idle,0,0.0
TRIP_12652,2026-05-29 20:08:25.301943,Mitte,DRV_116,Passengers_Onboard,10,15.22
TRIP_13917,2026-05-29 20:09:25.301943,Mitte,DRV_148,Passengers_Onboard,17,21.39
TRIP_12189,2026-05-29 20:21:25.301943,Prenzlauer Berg,DRV_147,En Route,0,0.0
TRIP_13458,2026-05-29 20:28:25.301943,Mitte,DRV_118,En Route,0,0.0
TRIP_10460,2026-05-29 20:28:25.301943,Friedrichshain-Kreuzberg,DRV_114,Passengers_Onboard,23,29.3
TRIP_11172,2026-05-29 20:29:25.301943,Prenzlauer Berg,DRV_139,Passengers_Onboard,12,19.43
TRIP_12724,2026-05-29 20:29:25.301943,Mitte,DRV_113,En Route,0,0.0
TRIP_11880,2026-05-29 21:05:25.301943,Mitte,DRV_141,Passengers_Onboard,20,28.81
TRIP_14550,2026-05-29 21:07:25.301943,Mitte,DRV_126,Passengers_Onboard,21,30.57
TRIP_14193,2026-05-29 21:09:25.301943,Friedrichshain-Kreuzberg,DRV_101,Passengers_Onboard,14,24.23
TRIP_12509,2026-05-29 21:19:25.301943,Mitte,DRV_136,En Route,0,0.0
TRIP_14557,2026-05-29 21:25:25.301943,Prenzlauer Berg,DRV_127,Passengers_Onboard,3,10.84
TRIP_12157,2026-05-29 21:29:25.301943,Friedrichshain-Kreuzberg,DRV_123,Passengers_Onboard,5,10.01
TRIP_14652,2026-05-29 21:31:25.301943,Mitte,DRV_138,Passengers_Onboard,17,22.19
TRIP_12567,2026-05-29 21:41:25.301943,Prenzlauer Berg,DRV_100,Passengers_Onboard,24,31.76
TRIP_10991,2026-05-29 21:51:25.301943,Prenzlauer Berg,DRV_132,Passengers_Onboard,18,23.0
TRIP_14378,2026-05-29 21:53:25.301943,Prenzlauer Berg,DRV_122,Passengers_Onboard,12,17.98
TRIP_10138,2026-05-29 21:58:25.301943,Friedrichshain-Kreuzberg,DRV_147,Passengers_Onboard,18,25.35
TRIP_13301,2026-05-29 21:59:25.301943,Mitte,DRV_112,Passengers_Onboard,12,18.01
TRIP_14065,2026-05-29 21:59:25.301943,Mitte,DRV_131,Idle,0,0.0
